Acc_X,Acc_Y,Acc_Z
-212, -3612, -2920
-230, -3464, -3602
-364, -3364, -4188
-424, -3108, -5198
-318, -2814, -6140
-496, -2542, -7154
-400, -2326, -7688
-382, -2148, -8184
-346, -1906, -8192
-308, -1676, -8192
-334, -1516, -8016
-438, -1264, -7588
-558, -992, -6804
-626, -802, -5836
-394, -866, -4192
-672, -738, -3110
-486, -644, -2708
-448, -630, -2200
-636, -296, -1550
-744, -172, -1028
-796, -116, -320
-768, -36, 124
-754, 158, 656
-390, 318, 1542
24, 292, 2932
482, 258, 4110
982, 230, 5412
1200, 92, 6356
1016, 2, 7202
802, -154, 7496
268, -54, 7268
-478, 142, 6742
-1002, -44, 6616
-762, 570, 6408
-680, -162, 6706
-460, -174, 6740
-72, -246, 6616
282, -712, 7644
464, -1192, 8172
496, -1490, 8032
124, -932, 7238
-150, -696, 6444
-334, -644, 6174
-184, -488, 5924
-12, -504, 6312
164, -522, 6784
228, -612, 7230
342, -660, 7656
574, -708, 7812
644, -728, 7824
648, -732, 7726
476, -720, 7692
552, -802, 8148
414, -1092, 8191
256, -1256, 8191
-10, -1364, 8191
-248, -1360, 8020
-336, -1282, 7412
-324, -1122, 6752
-108, -1110, 6336
46, -1014, 6008
276, -954, 5940
300, -968, 6020
336, -954, 6284
410, -912, 7000
440, -1044, 7754
432, -1032, 8191
396, -954, 8191
386, -856, 8191
168, -944, 8191
-54, -1032, 8191
-82, -1014, 8191
-54, -762, 8191
32, -480, 8191
288, -358, 8191
356, -314, 8191
580, 118, 8191
1110, 404, 8191
1078, 206, 8191
600, 358, 8191
610, 676, 8191
358, 968, 7680
-218, 1172, 6440
-418, 1376, 5436
-960, 1416, 4248
-1068, 1348, 3188
-990, 1386, 2424
-978, 1152, 2256
-926, 856, 1828
-790, 702, 1066
-736, 700, 240
-540, 508, -56
-436, 244, -416
-452, 76, -964
-528, 50, -1316
-564, -110, -1748
-888, -236, -2044
-990, -480, -2248
-938, -698, -2586
-898, -850, -2900
-736, -1102, -3060
-744, -1344, -3060
-980, -1378, -3192
-1024, -1308, -3610
-1008, -1348, -4280
-1142, -1390, -4724
-1266, -1602, -5088
-1334, -1694, -5404
-1338, -1804, -5776
-1272, -1912, -6004
-1316, -1988, -6216
-1160, -2018, -6496
-1158, -2226, -6456
-1260, -2306, -6420
-1396, -2336, -6388
-1368, -2374, -6112
-1168, -2516, -5628
-1094, -2674, -4968
-1030, -2750, -4668
-1002, -2766, -4420
-946, -2896, -4192
-796, -3006, -3904
-650, -3100, -3764
-422, -3096, -3676
-356, -3140, -3600
-410, -3256, -3408
-442, -3252, -3364
-460, -3240, -3352
-572, -3264, -3304
-698, -3256, -3268
-798, -3274, -3288
-812, -3286, -3320
-768, -3248, -3492
-832, -3196, -3656
-784, -3136, -3784
-776, -3048, -3984
-844, -2872, -4240
-850, -2772, -4368
-868, -2582, -4444
-864, -2404, -4646
-864, -2248, -5032
-960, -2090, -5440
-1072, -1820, -6376
-1226, -1534, -7324
-1214, -1124, -8192
-1364, -830, -8192
-1388, -456, -8192
-1326, -58, -8192
-1312, 526, -8192
-1188, 972, -7824
-1116, 1488, -6782
-950, 1870, -5340
-1082, 2170, -3904
-1010, 2314, -2578
-606, 2564, -1602
-282, 2542, -444
-278, 2624, 456
-240, 2700, 1420
-500, 3006, 2400
-528, 2456, 3844
-238, 2360, 4492
-86, 2244, 5032
-180, 2240, 5150
42, 2412, 5040
268, 2634, 5690
-64, 2398, 6472
-260, 2226, 7256
-112, 2310, 8191
-86, 1992, 8191
132, 1254, 8191
160, 890, 8191
76, 712, 8191
-46, 582, 8191
290, 556, 8191
482, 494, 8191
418, 396, 8191
252, 222, 8191
190, 148, 8191
336, 88, 8191
846, -2, 8191
1186, -262, 8191
1376, -608, 8191
1274, -820, 8191
1094, -842, 8191
820, -672, 8191
574, -678, 8191
290, -644, 8191
200, -582, 8191
238, -492, 8191
364, -340, 8191
474, -288, 8191
360, -220, 8191
356, -212, 8191
386, -296, 8191
322, -388, 8191
418, -492, 8191
252, -88, 8191
-38, 40, 8191
-230, 88, 7676
-518, 306, 6714
-884, 344, 5654
-948, 374, 4916
-948, 338, 4440
-746, 352, 3912
-452, 350, 3696
-138, 258, 3848
-150, -24, 4004
-278, -136, 3884
-244, -24, 3280
-176, -20, 2364
-276, -72, 1844
-364, -172, 1504
-430, -288, 924
-494, -366, 392
-560, -432, -10
-616, -654, 112
-642, -820, 240
-592, -1042, 256
-532, -1130, 48
-528, -1296, 12
-336, -1448, 44
-240, -1522, 60
-172, -1598, -172
-176, -1598, -510
-120, -1504, -928
-290, -1632, -1132
-348, -1708, -1644
-268, -1760, -2176
-272, -1800, -2388
-382, -1746, -2570
-596, -1760, -2788
-716, -1854, -3000
-812, -1872, -3504
-856, -1924, -3732
-854, -1966, -3988
-824, -2002, -3916
-780, -2108, -3944
-798, -2092, -4216
-880, -2124, -4744
-1042, -2114, -5236
-1050, -2062, -5948
-960, -2116, -6668
-932, -2192, -7108
