Acc_X: -82, Acc_Y: 244, Acc_Z: 76
Acc_X: -168, Acc_Y: -314, Acc_Z: -18
Acc_X: -240, Acc_Y: -796, Acc_Z: -40
Acc_X: -274, Acc_Y: -1130, Acc_Z: -176
Acc_X: -312, Acc_Y: -1436, Acc_Z: -404
Acc_X: -360, Acc_Y: -1612, Acc_Z: -480
Acc_X: -336, Acc_Y: -1772, Acc_Z: -592
Acc_X: -312, Acc_Y: -1802, Acc_Z: -640
Acc_X: -282, Acc_Y: -1770, Acc_Z: -668
Acc_X: -276, Acc_Y: -1646, Acc_Z: -636
Acc_X: -226, Acc_Y: -1338, Acc_Z: -530
Acc_X: -150, Acc_Y: -944, Acc_Z: -396
Acc_X: 2, Acc_Y: -410, Acc_Z: -228
Acc_X: 130, Acc_Y: 110, Acc_Z: -38
Acc_X: 216, Acc_Y: 910, Acc_Z: 100
Acc_X: 344, Acc_Y: 1724, Acc_Z: 164
Acc_X: 466, Acc_Y: 3040, Acc_Z: 212
Acc_X: 552, Acc_Y: 4474, Acc_Z: 356
Acc_X: 636, Acc_Y: 6592, Acc_Z: 428
Acc_X: 444, Acc_Y: 8191, Acc_Z: 558
Acc_X: 182, Acc_Y: 8191, Acc_Z: 604
Acc_X: -32, Acc_Y: 8191, Acc_Z: 700
Acc_X: -220, Acc_Y: 8191, Acc_Z: 792
Acc_X: -378, Acc_Y: 8191, Acc_Z: 1064
Acc_X: -360, Acc_Y: 8191, Acc_Z: 1484
Acc_X: -408, Acc_Y: 8191, Acc_Z: 1952
Acc_X: -364, Acc_Y: 8191, Acc_Z: 2276
Acc_X: -242, Acc_Y: 8191, Acc_Z: 2528
Acc_X: -124, Acc_Y: 7450, Acc_Z: 2552
Acc_X: -8, Acc_Y: 6738, Acc_Z: 2504
Acc_X: 74, Acc_Y: 6532, Acc_Z: 2312
Acc_X: 156, Acc_Y: 6750, Acc_Z: 2028
Acc_X: 230, Acc_Y: 6876, Acc_Z: 1698
Acc_X: 260, Acc_Y: 8086, Acc_Z: 1554
Acc_X: 260, Acc_Y: 8191, Acc_Z: 1324
Acc_X: 212, Acc_Y: 8191, Acc_Z: 1260
Acc_X: 190, Acc_Y: 8191, Acc_Z: 1244
Acc_X: 140, Acc_Y: 8191, Acc_Z: 1304
Acc_X: 96, Acc_Y: 8191, Acc_Z: 1372
Acc_X: 52, Acc_Y: 8191, Acc_Z: 1432
Acc_X: 42, Acc_Y: 8191, Acc_Z: 1428
Acc_X: 64, Acc_Y: 8191, Acc_Z: 1328
Acc_X: 78, Acc_Y: 8191, Acc_Z: 1252
Acc_X: 140, Acc_Y: 8191, Acc_Z: 1124
Acc_X: 192, Acc_Y: 8191, Acc_Z: 1004
Acc_X: 240, Acc_Y: 8191, Acc_Z: 928
Acc_X: 260, Acc_Y: 8004, Acc_Z: 868
Acc_X: 268, Acc_Y: 7812, Acc_Z: 888
Acc_X: 234, Acc_Y: 7618, Acc_Z: 980
Acc_X: 212, Acc_Y: 7394, Acc_Z: 1064
Acc_X: 200, Acc_Y: 7216, Acc_Z: 1216
Acc_X: 200, Acc_Y: 7068, Acc_Z: 1276
Acc_X: 196, Acc_Y: 6840, Acc_Z: 1340
Acc_X: 186, Acc_Y: 6662, Acc_Z: 1392
Acc_X: 196, Acc_Y: 6376, Acc_Z: 1428
Acc_X: 204, Acc_Y: 6082, Acc_Z: 1416
Acc_X: 220, Acc_Y: 5822, Acc_Z: 1368
Acc_X: 232, Acc_Y: 5458, Acc_Z: 1344
Acc_X: 234, Acc_Y: 5178, Acc_Z: 1308
Acc_X: 258, Acc_Y: 4828, Acc_Z: 1256
Acc_X: 268, Acc_Y: 4534, Acc_Z: 1232
Acc_X: 278, Acc_Y: 4232, Acc_Z: 1180
Acc_X: 268, Acc_Y: 3922, Acc_Z: 1136
Acc_X: 246, Acc_Y: 3624, Acc_Z: 1120
Acc_X: 264, Acc_Y: 3408, Acc_Z: 1120
Acc_X: 250, Acc_Y: 3124, Acc_Z: 1100
Acc_X: 234, Acc_Y: 2924, Acc_Z: 1112
Acc_X: 208, Acc_Y: 2724, Acc_Z: 1120
Acc_X: 212, Acc_Y: 2568, Acc_Z: 1176
Acc_X: 182, Acc_Y: 2396, Acc_Z: 1160
Acc_X: 176, Acc_Y: 2268, Acc_Z: 1208
Acc_X: 160, Acc_Y: 2140, Acc_Z: 1196
Acc_X: 160, Acc_Y: 2044, Acc_Z: 1240
Acc_X: 144, Acc_Y: 2000, Acc_Z: 1196
