Acc_X, Acc_Y, Acc_Z
-540, -2296, -716
-608, -2220, -568
-566, -2098, -522
-526, -1890, -492
-390, -1426, -340
-296, -984, -184
-168, -366, -84
-8, 262, 20
138, 1160, 108
236, 2118, 100
374, 3578, 128
488, 5064, 236
576, 7184, 236
224, 8191, 268
4, 8191, 388
-156, 8191, 612
-386, 8191, 812
-576, 8191, 1246
-532, 8191, 1592
-578, 8191, 2004
-518, 8191, 2268
-380, 8191, 2428
-316, 7410, 2440
-192, 6752, 2324
-124, 6554, 2050
-20, 6708, 1804
32, 7114, 1576
88, 7722, 1352
86, 8191, 1284
36, 8191, 1240
16, 8191, 1248
-46, 8191, 1312
-94, 8191, 1368
-108, 8191, 1348
-216, 8191, 1896
-68, 8191, 1090
2, 8191, 988
54, 8191, 884
88, 8191, 816
108, 8191, 792
156, 8178, 748
186, 8002, 752
184, 7924, 776
200, 7688, 768
204, 7432, 856
212, 7256, 920
204, 7084, 1010
204, 6936, 1026
212, 6632, 1072
220, 6302, 1104
222, 6056, 1120
254, 5670, 1152
282, 5342, 1180
292, 5018, 1176
300, 4676, 1176
322, 4378, 1152
332, 4122, 1128
334, 3820, 1120
318, 3586, 1172
322, 3304, 1112
336, 3104, 1144
348, 2906, 1112
318, 2730, 1116
316, 2542, 1172
328, 2424, 1152
322, 2292, 1184
300, 2210, 1160
312, 2158, 1172
282, 2118, 1176
288, 2156, 1112
284, 2218, 1092
318, 2360, 1008
328, 2540, 936
352, 2720, 876
360, 2996, 776
392, 3234, 700
376, 3556, 652
392, 3836, 576
374, 4268, 518
396, 4610, 408
352, 5060, 368
344, 5442, 328
300, 5908, 300
302, 6276, 240
268, 6656, 188
248, 6956, 112
216, 7102, 48
200, 7208, -36
208, 7246, -148
196, 7220, -200
168, 7138, -272
154, 7042, -308
168, 7004, -384
152, 6932, -432
156, 6936, -380
164, 6972, -324
120, 7026, -256
108, 7124, -228
90, 7152, -100
84, 7176, -76
64, 7152, -52
38, 7120, -36
42, 7008, 2
46, 6952, 56
112, 6458, 482
86, 5998, 36
46, 6516, -80
48, 6238, -164
56, 6142, -80
40, 6036, -64
32, 5870, -100
20, 5744, -48
20, 5516, -32
-6, 5354, 2
2, 5122, -40
2, 4936, -2
12, 4694, -52
10, 4502, -76
-6, 4276, -80
4, 4088, -132
4, 3886, -72
20, 3662, -88
-12, 3534, -80
-6, 3370, -76
-16, 3216, -56
-12, 3064, -36
-32, 2928, -72
-24, 2790, -32
-24, 2700, -56
0, 2606, -76
-36, 2512, -68
-16, 2422, -64
-12, 2352, -60
-22, 2292, -32
-16, 2282, -48
18, 2244, -2
38, 2260, -14
44, 2304, 20
52, 2412, 56
104, 2532, 132
124, 2686, 152
142, 2852, 192
164, 2992, 240
192, 3096, 268
200, 3268, 336
220, 3408, 348
236, 3560, 380
264, 3744, 444
282, 3914, 460
278, 4084, 514
308, 4282, 560
318, 4438, 572
310, 4628, 624
352, 4814, 628
364, 5004, 688
344, 5142, 724
328, 5306, 732
356, 5396, 716
364, 5516, 784
364, 5604, 756
374, 5722, 756
382, 5762, 776
400, 5788, 740
386, 5870, 732
392, 5884, 728
438, 5860, 756
422, 5884, 736
422, 5914, 732
414, 5930, 752
422, 5918, 724
448, 5904, 716
458, 5874, 744
448, 5850, 720
464, 5792, 732
474, 5758, 756
462, 5696, 756
484, 5580, 764
476, 5472, 804
484, 5358, 792
470, 5272, 788
484, 5178, 808
492, 5076, 788
484, 5030, 776
478, 4876, 800
496, 4722, 780
500, 4624, 784
