Acc_X: -312, Acc_Y: 426, Acc_Z: -272
Acc_X: -308, Acc_Y: -336, Acc_Z: 184
Acc_X: -440, Acc_Y: -1098, Acc_Z: -370
Acc_X: -622, Acc_Y: -1448, Acc_Z: -688
Acc_X: -588, Acc_Y: -1780, Acc_Z: -672
Acc_X: -216, Acc_Y: -2220, Acc_Z: -764
Acc_X: -524, Acc_Y: -2080, Acc_Z: -896
Acc_X: -522, Acc_Y: -2024, Acc_Z: -736
Acc_X: -552, Acc_Y: -1958, Acc_Z: -668
Acc_X: -522, Acc_Y: -1816, Acc_Z: -656
Acc_X: -448, Acc_Y: -1442, Acc_Z: -506
Acc_X: -332, Acc_Y: -916, Acc_Z: -260
Acc_X: -172, Acc_Y: -418, Acc_Z: -180
Acc_X: -28, Acc_Y: 298, Acc_Z: -112
Acc_X: 124, Acc_Y: 1046, Acc_Z: -36
Acc_X: 240, Acc_Y: 2188, Acc_Z: -36
Acc_X: 378, Acc_Y: 3402, Acc_Z: 2
Acc_X: 506, Acc_Y: 5272, Acc_Z: 84
Acc_X: 606, Acc_Y: 7146, Acc_Z: 84
Acc_X: 260, Acc_Y: 8191, Acc_Z: 184
Acc_X: 80, Acc_Y: 8191, Acc_Z: 216
Acc_X: -172, Acc_Y: 8191, Acc_Z: 462
Acc_X: -356, Acc_Y: 8191, Acc_Z: 612
Acc_X: -580, Acc_Y: 8191, Acc_Z: 980
Acc_X: -580, Acc_Y: 8191, Acc_Z: 1578
Acc_X: -652, Acc_Y: 8191, Acc_Z: 2012
Acc_X: -554, Acc_Y: 8191, Acc_Z: 2416
Acc_X: -416, Acc_Y: 8191, Acc_Z: 2582
Acc_X: -286, Acc_Y: 7516, Acc_Z: 2648
Acc_X: -188, Acc_Y: 6964, Acc_Z: 2528
Acc_X: -94, Acc_Y: 6658, Acc_Z: 2256
Acc_X: 24, Acc_Y: 6790, Acc_Z: 1948
Acc_X: 72, Acc_Y: 7290, Acc_Z: 1592
Acc_X: 116, Acc_Y: 7870, Acc_Z: 1368
Acc_X: 116, Acc_Y: 8191, Acc_Z: 1208
Acc_X: 74, Acc_Y: 8191, Acc_Z: 1140
Acc_X: 50, Acc_Y: 8191, Acc_Z: 1152
Acc_X: -2, Acc_Y: 8191, Acc_Z: 1208
Acc_X: -32, Acc_Y: 8191, Acc_Z: 1256
Acc_X: 42, Acc_Y: 8191, Acc_Z: 946
Acc_X: -12, Acc_Y: 8191, Acc_Z: 1022
Acc_X: 16, Acc_Y: 8191, Acc_Z: 980
Acc_X: 60, Acc_Y: 8191, Acc_Z: 856
Acc_X: 94, Acc_Y: 8191, Acc_Z: 760
Acc_X: 142, Acc_Y: 8191, Acc_Z: 680
Acc_X: 208, Acc_Y: 8191, Acc_Z: 560
Acc_X: 250, Acc_Y: 8191, Acc_Z: 536
Acc_X: 296, Acc_Y: 8168, Acc_Z: 536
Acc_X: 288, Acc_Y: 7890, Acc_Z: 572
Acc_X: 272, Acc_Y: 7624, Acc_Z: 672
Acc_X: 268, Acc_Y: 7412, Acc_Z: 760
Acc_X: 274, Acc_Y: 7230, Acc_Z: 876
Acc_X: 260, Acc_Y: 7056, Acc_Z: 948
Acc_X: 260, Acc_Y: 6796, Acc_Z: 1060
Acc_X: 256, Acc_Y: 6566, Acc_Z: 1112
Acc_X: 258, Acc_Y: 6230, Acc_Z: 1188
Acc_X: 260, Acc_Y: 5948, Acc_Z: 1196
Acc_X: 294, Acc_Y: 5538, Acc_Z: 1216
Acc_X: 314, Acc_Y: 5238, Acc_Z: 1224
Acc_X: 336, Acc_Y: 4892, Acc_Z: 1192
Acc_X: 348, Acc_Y: 4568, Acc_Z: 1180
Acc_X: 356, Acc_Y: 4190, Acc_Z: 1176
Acc_X: 352, Acc_Y: 3836, Acc_Z: 1088
Acc_X: 360, Acc_Y: 3582, Acc_Z: 1080
Acc_X: 360, Acc_Y: 3312, Acc_Z: 1052
Acc_X: 368, Acc_Y: 3070, Acc_Z: 1072
Acc_X: 364, Acc_Y: 2846, Acc_Z: 1030
Acc_X: 356, Acc_Y: 2660, Acc_Z: 1056
Acc_X: 344, Acc_Y: 2486, Acc_Z: 1080
Acc_X: 326, Acc_Y: 2310, Acc_Z: 1056
Acc_X: 326, Acc_Y: 2176, Acc_Z: 1108
Acc_X: 312, Acc_Y: 2058, Acc_Z: 1124
Acc_X: 282, Acc_Y: 1998, Acc_Z: 1132
Acc_X: 284, Acc_Y: 1962, Acc_Z: 1112
Acc_X: 286, Acc_Y: 1948, Acc_Z: 1124
Acc_X: 302, Acc_Y: 1948, Acc_Z: 1132
Acc_X: 300, Acc_Y: 2024, Acc_Z: 1108
Acc_X: 296, Acc_Y: 2144, Acc_Z: 1018
Acc_X: 316, Acc_Y: 2324, Acc_Z: 900
Acc_X: 332, Acc_Y: 2548, Acc_Z: 816
Acc_X: 344, Acc_Y: 2828, Acc_Z: 740
Acc_X: 394, Acc_Y: 3126, Acc_Z: 680
Acc_X: 388, Acc_Y: 3416, Acc_Z: 560
Acc_X: 426, Acc_Y: 3790, Acc_Z: 480
Acc_X: 400, Acc_Y: 4136, Acc_Z: 416
Acc_X: 412, Acc_Y: 4616, Acc_Z: 340
Acc_X: 404, Acc_Y: 5040, Acc_Z: 328
Acc_X: 388, Acc_Y: 5494, Acc_Z: 260
Acc_X: 366, Acc_Y: 5948, Acc_Z: 236
Acc_X: 316, Acc_Y: 6406, Acc_Z: 188
Acc_X: 286, Acc_Y: 6744, Acc_Z: 92
Acc_X: 288, Acc_Y: 7098, Acc_Z: 68
Acc_X: 260, Acc_Y: 7268, Acc_Z: -2
Acc_X: 216, Acc_Y: 7368, Acc_Z: -132
Acc_X: 246, Acc_Y: 7380, Acc_Z: -208
Acc_X: 216, Acc_Y: 7332, Acc_Z: -332
Acc_X: 204, Acc_Y: 7224, Acc_Z: -388
Acc_X: 204, Acc_Y: 7120, Acc_Z: -444
Acc_X: 204, Acc_Y: 7004, Acc_Z: -476
Acc_X: 192, Acc_Y: 6982, Acc_Z: -496
Acc_X: 180, Acc_Y: 7042, Acc_Z: -448
Acc_X: 172, Acc_Y: 7048, Acc_Z: -396
Acc_X: 156, Acc_Y: 7202, Acc_Z: -300
Acc_X: 146, Acc_Y: 7236, Acc_Z: -240
Acc_X: 150, Acc_Y: 7336, Acc_Z: -172
Acc_X: 128, Acc_Y: 7350, Acc_Z: -148
Acc_X: 116, Acc_Y: 7306, Acc_Z: -124
Acc_X: 106, Acc_Y: 7260, Acc_Z: -88
Acc_X: 82, Acc_Y: 7402, Acc_Z: -80
Acc_X: 116, Acc_Y: 6644, Acc_Z: -124
Acc_X: 96, Acc_Y: 6772, Acc_Z: -128
Acc_X: 72, Acc_Y: 6772, Acc_Z: -136
Acc_X: 64, Acc_Y: 6558, Acc_Z: -168
Acc_X: 76, Acc_Y: 6476, Acc_Z: -144
Acc_X: 68, Acc_Y: 6336, Acc_Z: -160
Acc_X: 60, Acc_Y: 6206, Acc_Z: -112
Acc_X: 68, Acc_Y: 5998, Acc_Z: -120
Acc_X: 46, Acc_Y: 5838, Acc_Z: -72
Acc_X: 64, Acc_Y: 5588, Acc_Z: -112
Acc_X: 42, Acc_Y: 5364, Acc_Z: -76
Acc_X: 68, Acc_Y: 5204, Acc_Z: -144
Acc_X: 68, Acc_Y: 4994, Acc_Z: -148
Acc_X: 60, Acc_Y: 4776, Acc_Z: -144
Acc_X: 58, Acc_Y: 4528, Acc_Z: -180
Acc_X: 50, Acc_Y: 4378, Acc_Z: -192
Acc_X: 80, Acc_Y: 4140, Acc_Z: -164
Acc_X: 50, Acc_Y: 3972, Acc_Z: -176
Acc_X: 40, Acc_Y: 3788, Acc_Z: -164
Acc_X: 46, Acc_Y: 3628, Acc_Z: -176
Acc_X: 32, Acc_Y: 3442, Acc_Z: -112
Acc_X: 36, Acc_Y: 3288, Acc_Z: -168
Acc_X: 20, Acc_Y: 3108, Acc_Z: -164
Acc_X: 46, Acc_Y: 2976, Acc_Z: -164
Acc_X: 28, Acc_Y: 2856, Acc_Z: -152
Acc_X: 42, Acc_Y: 2702, Acc_Z: -176
Acc_X: 38, Acc_Y: 2598, Acc_Z: -188
Acc_X: 20, Acc_Y: 2490, Acc_Z: -168
Acc_X: 44, Acc_Y: 2428, Acc_Z: -148
Acc_X: 46, Acc_Y: 2360, Acc_Z: -164
Acc_X: 54, Acc_Y: 2278, Acc_Z: -180
Acc_X: 38, Acc_Y: 2256, Acc_Z: -124
Acc_X: 56, Acc_Y: 2244, Acc_Z: -120
Acc_X: 64, Acc_Y: 2260, Acc_Z: -120
Acc_X: 90, Acc_Y: 2326, Acc_Z: -52
Acc_X: 136, Acc_Y: 2456, Acc_Z: -80
Acc_X: 148, Acc_Y: 2590, Acc_Z: -6
Acc_X: 188, Acc_Y: 2728, Acc_Z: 48
Acc_X: 204, Acc_Y: 2888, Acc_Z: 100
Acc_X: 238, Acc_Y: 3036, Acc_Z: 160
Acc_X: 232, Acc_Y: 3154, Acc_Z: 176
Acc_X: 260, Acc_Y: 3330, Acc_Z: 224
Acc_X: 286, Acc_Y: 3444, Acc_Z: 252
Acc_X: 300, Acc_Y: 3662, Acc_Z: 328
Acc_X: 316, Acc_Y: 3812, Acc_Z: 364
Acc_X: 336, Acc_Y: 3988, Acc_Z: 384
Acc_X: 332, Acc_Y: 4238, Acc_Z: 468
Acc_X: 356, Acc_Y: 4378, Acc_Z: 498
Acc_X: 356, Acc_Y: 4606, Acc_Z: 544
Acc_X: 368, Acc_Y: 4770, Acc_Z: 564
Acc_X: 370, Acc_Y: 4982, Acc_Z: 612
Acc_X: 392, Acc_Y: 5138, Acc_Z: 624
Acc_X: 408, Acc_Y: 5276, Acc_Z: 676
Acc_X: 396, Acc_Y: 5420, Acc_Z: 712
Acc_X: 418, Acc_Y: 5550, Acc_Z: 712
Acc_X: 404, Acc_Y: 5684, Acc_Z: 716
Acc_X: 412, Acc_Y: 5760, Acc_Z: 760
Acc_X: 422, Acc_Y: 5792, Acc_Z: 764
Acc_X: 414, Acc_Y: 5840, Acc_Z: 740
Acc_X: 432, Acc_Y: 5860, Acc_Z: 752
Acc_X: 444, Acc_Y: 5888, Acc_Z: 728
Acc_X: 426, Acc_Y: 5904, Acc_Z: 744
Acc_X: 452, Acc_Y: 5926, Acc_Z: 732
Acc_X: 456, Acc_Y: 5914, Acc_Z: 704
Acc_X: 476, Acc_Y: 5956, Acc_Z: 716
Acc_X: 492, Acc_Y: 5974, Acc_Z: 664
Acc_X: 480, Acc_Y: 5990, Acc_Z: 684
Acc_X: 492, Acc_Y: 5958, Acc_Z: 700
Acc_X: 492, Acc_Y: 5974, Acc_Z: 724
Acc_X: 470, Acc_Y: 5926, Acc_Z: 724
Acc_X: 492, Acc_Y: 5874, Acc_Z: 724
Acc_X: 496, Acc_Y: 5796, Acc_Z: 720
Acc_X: 512, Acc_Y: 5744, Acc_Z: 724
Acc_X: 492, Acc_Y: 5590, Acc_Z: 732
Acc_X: 510, Acc_Y: 5508, Acc_Z: 744
Acc_X: 504, Acc_Y: 5408, Acc_Z: 748
Acc_X: 492, Acc_Y: 5312, Acc_Z: 788
Acc_X: 520, Acc_Y: 5174, Acc_Z: 748
Acc_X: 500, Acc_Y: 5080, Acc_Z: 800
Acc_X: 492, Acc_Y: 4974, Acc_Z: 772
Acc_X: 512, Acc_Y: 4852, Acc_Z: 788
Acc_X: 496, Acc_Y: 4766, Acc_Z: 772
Acc_X: 488, Acc_Y: 4634, Acc_Z: 764
Acc_X: 492, Acc_Y: 4502, Acc_Z: 756
Acc_X: 500, Acc_Y: 4368, Acc_Z: 744
Acc_X: 496, Acc_Y: 4296, Acc_Z: 752
Acc_X: 496, Acc_Y: 4162, Acc_Z: 752
Acc_X: 504, Acc_Y: 4052, Acc_Z: 744
Acc_X: 484, Acc_Y: 3904, Acc_Z: 740
Acc_X: 496, Acc_Y: 3800, Acc_Z: 788
Acc_X: 492, Acc_Y: 3718, Acc_Z: 740
Acc_X: 440, Acc_Y: 3632, Acc_Z: 780
Acc_X: 466, Acc_Y: 3520, Acc_Z: 780
Acc_X: 466, Acc_Y: 3476, Acc_Z: 760
Acc_X: 432, Acc_Y: 3412, Acc_Z: 764
Acc_X: 434, Acc_Y: 3340, Acc_Z: 788
Acc_X: 436, Acc_Y: 3316, Acc_Z: 744
Acc_X: 428, Acc_Y: 3296, Acc_Z: 772
Acc_X: 412, Acc_Y: 3312, Acc_Z: 776
Acc_X: 426, Acc_Y: 3304, Acc_Z: 724
Acc_X: 396, Acc_Y: 3320, Acc_Z: 716
Acc_X: 372, Acc_Y: 3364, Acc_Z: 704
Acc_X: 396, Acc_Y: 3422, Acc_Z: 636
Acc_X: 392, Acc_Y: 3508, Acc_Z: 568
Acc_X: 392, Acc_Y: 3602, Acc_Z: 544
Acc_X: 378, Acc_Y: 3684, Acc_Z: 484
Acc_X: 386, Acc_Y: 3776, Acc_Z: 440
Acc_X: 378, Acc_Y: 3874, Acc_Z: 344
Acc_X: 372, Acc_Y: 3962, Acc_Z: 340
Acc_X: 384, Acc_Y: 4062, Acc_Z: 296
Acc_X: 382, Acc_Y: 4174, Acc_Z: 248
Acc_X: 378, Acc_Y: 4298, Acc_Z: 220
Acc_X: 378, Acc_Y: 4376, Acc_Z: 204
Acc_X: 392, Acc_Y: 4490, Acc_Z: 172
Acc_X: 392, Acc_Y: 4576, Acc_Z: 172
Acc_X: 352, Acc_Y: 4712, Acc_Z: 156
Acc_X: 360, Acc_Y: 4826, Acc_Z: 152
Acc_X: 356, Acc_Y: 4888, Acc_Z: 148
Acc_X: 340, Acc_Y: 4996, Acc_Z: 132
Acc_X: 324, Acc_Y: 5048, Acc_Z: 96
Acc_X: 348, Acc_Y: 5112, Acc_Z: 76
Acc_X: 330, Acc_Y: 5140, Acc_Z: 44
Acc_X: 324, Acc_Y: 5186, Acc_Z: 64
Acc_X: 318, Acc_Y: 5220, Acc_Z: 32
Acc_X: 312, Acc_Y: 5252, Acc_Z: -2
Acc_X: 304, Acc_Y: 5260, Acc_Z: 12
Acc_X: 272, Acc_Y: 5276, Acc_Z: 24
Acc_X: 288, Acc_Y: 5272, Acc_Z: -48
Acc_X: 272, Acc_Y: 5288, Acc_Z: 6
Acc_X: 236, Acc_Y: 5316, Acc_Z: -44
Acc_X: 252, Acc_Y: 5204, Acc_Z: -30
Acc_X: 216, Acc_Y: 5168, Acc_Z: -6
Acc_X: 230, Acc_Y: 5212, Acc_Z: -14
Acc_X: 232, Acc_Y: 5180, Acc_Z: -14
Acc_X: 224, Acc_Y: 5136, Acc_Z: -10
Acc_X: 212, Acc_Y: 5096, Acc_Z: -2
Acc_X: 228, Acc_Y: 5044, Acc_Z: -24
Acc_X: 200, Acc_Y: 4964, Acc_Z: 14
Acc_X: 194, Acc_Y: 4916, Acc_Z: 20
Acc_X: 186, Acc_Y: 4852, Acc_Z: 2
Acc_X: 168, Acc_Y: 4736, Acc_Z: 0
Acc_X: 184, Acc_Y: 4640, Acc_Z: 8
Acc_X: 164, Acc_Y: 4576, Acc_Z: -16
Acc_X: 184, Acc_Y: 4476, Acc_Z: -10
Acc_X: 148, Acc_Y: 4404, Acc_Z: -2
Acc_X: 182, Acc_Y: 4312, Acc_Z: -20
Acc_X: 160, Acc_Y: 4242, Acc_Z: 16
Acc_X: 172, Acc_Y: 4132, Acc_Z: 10
Acc_X: 168, Acc_Y: 4036, Acc_Z: -18
Acc_X: 156, Acc_Y: 3948, Acc_Z: -14
Acc_X: 160, Acc_Y: 3862, Acc_Z: -32
Acc_X: 164, Acc_Y: 3796, Acc_Z: -36
Acc_X: 164, Acc_Y: 3680, Acc_Z: -18
Acc_X: 156, Acc_Y: 3642, Acc_Z: -28
Acc_X: 160, Acc_Y: 3568, Acc_Z: -36
Acc_X: 170, Acc_Y: 3498, Acc_Z: -36
