Acc_X,Acc_Y,Acc_Z
-102,-1768,4732
2672,-1676,4158
2158,-1830,4678
478,-1922,3562
-2,-1228,3182
-194,3840,4016
420,5530,3424
2172,4932,2050
182,3446,-432
-180,2916,724
-260,2394,42
-180,1124,84
-184,-388,-54
-348,-1274,-392
-504,-1828,-596
-544,-2070,-680
-470,-2274,-776
-392,-2404,-788
-430,-2382,-756
-500,-2288,-756
-428,-2058,-684
-352,-1768,-508
-236,-1132,-276
-110,-418,-116
38,210,40
138,1174,128
304,2228,184
392,3800,296
496,5358,356
54,7614,266
194,8191,572
68,8191,600
-120,8191,768
-296,8191,1098
-338,8191,1356
-404,8191,1732
-408,8191,2030
-336,8191,2192
-248,7742,2216
-148,7048,2156
-68,6740,2046
24,6770,1848
68,7186,1580
120,7704,1412
136,8191,1312
136,8191,1256
84,8191,1240
20,8191,1324
-28,8191,1392
-66,8191,1436
-76,8191,1404
-76,8191,1388
-44,8191,1316
-36,8191,1228
12,8191,1116
16,8191,1076
48,8191,1030
86,8178,1044
80,7886,1068
60,7648,1156
72,7440,1212
72,7238,1272
60,7060,1300
42,6830,1348
80,6668,1340
84,6414,1364
84,6178,1320
98,5848,1300
94,5576,1236
138,5242,1196
144,4978,1192
164,4614,1136
152,4312,1108
164,3976,1116
150,3752,1096
176,3444,1096
134,3176,1104
146,2964,1152
128,2720,1176
120,2612,1160
120,2404,1196
116,2252,1244
104,2144,1276
98,2056,1252
108,1998,1220
100,1976,1272
102,2000,1188
132,2076,1144
154,2256,1040
170,2424,928
242,2668,852
260,2914,708
308,3212,700
326,3572,628
336,3892,560
336,4378,516
378,4790,472
356,5298,408
352,5802,420
340,6346,364
316,6756,332
280,7206,260
272,7480,200
238,7710,144
208,7740,28
224,7688,-48
224,7562,-156
232,7328,-220
264,7156,-316
238,6948,-324
224,6788,-356
246,6756,-316
220,6814,-276
216,6878,-236
202,7030,-100
190,7102,-40
172,7190,-22
176,7142,56
170,7098,64
138,6996,64
142,6800,48
146,6652,48
124,6454,-10
130,6264,-10
154,6090,54
132,5860,-28
140,5766,-44
148,5568,-64
156,5398,-88
128,5220,-76
144,5056,-76
