Acc_X,Acc_Y,Acc_Z
376, -3932, -200
396, -3948, -272
526, -3996, -176
668, -3940, -124
776, -3904, -88
960, -3798, -184
1440, -3662, -236
1926, -3602, -212
2486, -3476, -76
3048, -3290, -188
3702, -3164, -148
4128, -3144, -28
4574, -3092, 44
4774, -2872, -376
4976, -2664, -488
4984, -2604, -324
5054, -2434, -284
5216, -2056, -256
5352, -2022, 10
5246, -1880, 542
4982, -1850, 844
4712, -1578, 464
4242, -1284, 356
3452, -1192, 316
2714, -1024, 308
1884, -846, 272
1004, -772, 388
-488, -856, 692
-1746, -988, 1022
-3220, -1232, 1224
-4196, -1440, 1600
-4840, -1650, 1936
-5242, -1812, 2108
-5504, -1840, 2172
-5514, -1888, 2288
-5626, -1996, 2204
-5794, -2008, 2054
-6108, -1976, 1864
-6182, -1920, 1636
-6334, -1902, 1476
-6706, -1944, 1360
-7034, -1944, 1332
-7392, -1972, 1468
-7620, -2062, 1772
-7918, -2216, 2050
-8084, -2244, 2324
-8096, -2292, 2296
-8192, -1340, 2654
-8192, -2630, 1714
-7782, -2676, 2244
-7262, -2078, 2284
-7300, -2030, 2104
-7422, -1984, 1808
-7616, -2092, 1900
-7978, -2180, 1784
-8192, -2256, 1776
-8192, -2316, 1780
-8192, -2408, 1840
-8162, -2412, 2050
-7840, -2326, 2036
-7606, -2328, 2088
-7448, -2264, 1868
-7392, -2212, 1744
-7158, -2140, 1604
-6932, -2226, 1580
-6588, -2196, 1580
-6286, -2050, 1408
-5960, -2052, 1436
-5644, -2020, 1460
-5432, -1964, 1444
-5348, -1948, 1484
-5444, -1966, 1500
-5640, -1958, 1688
-5670, -1932, 1752
-5378, -1706, 1824
-4692, -1474, 1660
-3782, -1428, 1388
-3350, -1284, 888
-2768, -1418, 776
-2402, -1492, 568
-2136, -1488, 400
-2088, -1408, 260
-1754, -1364, 148
-1266, -1084, -40
-538, -990, -28
220, -916, 76
876, -948, 320
1432, -1110, 572
1854, -1172, 760
2258, -1044, 680
2698, -988, 532
3154, -980, 424
3892, -1020, 348
4434, -1062, 180
5116, -1014, -104
5710, -954, -476
6440, -980, -788
7112, -1054, -1236
7838, -1100, -1600
8191, -1108, -1712
8191, -1128, -1550
8191, -1118, -1352
8010, -1100, -1316
7716, -1170, -1088
7340, -1200, -884
7060, -1240, -764
6920, -1282, -892
7110, -1278, -1140
7344, -1356, -1288
7372, -1404, -1312
7208, -1416, -1304
6814, -1420, -1324
6536, -1426, -1308
6362, -1352, -1432
6322, -1356, -1512
6292, -1352, -1380
6278, -1354, -1148
6096, -1272, -884
5482, -1330, -636
5102, -1232, -336
4522, -1256, -156
3928, -1140, -168
3636, -1010, -420
3366, -928, -556
3082, -894, -588
2730, -832, -632
2444, -646, -544
2130, -464, -308
1680, -268, -44
1296, -144, 264
850, -78, 548
548, -100, 764
158, -188, 1084
-504, -424, 1400
-1144, -410, 1868
-1828, -32, 2050
-2022, 64, 2228
-2502, -96, 2380
-3210, -266, 2570
-3726, -232, 2540
-4564, -400, 2500
-5350, -534, 2452
-6130, -634, 2308
-6396, -682, 2324
-6640, -832, 2808
-6736, -1006, 3252
-6864, -950, 3412
-6498, -996, 3396
-6322, -1000, 3324
-6300, -1010, 3316
-6440, -1010, 3196
-6856, -1038, 3108
-7416, -1062, 3064
-7692, -1124, 3106
-7978, -1198, 3094
-8192, -1304, 3140
-8192, -1352, 3024
-8192, -1382, 3044
-8192, -1352, 3188
-8108, -1344, 3112
-8192, -1322, 3000
-8192, -1412, 2940
-8192, -1432, 2764
-8192, -1444, 2704
-8192, -1492, 2624
-8192, -1560, 2728
-8192, -1598, 2876
-8192, -1650, 3008
-8192, -1668, 3028
-8192, -1548, 2896
-8192, -1440, 2594
-8192, -1374, 2360
-8192, -932, 1530
-8192, -1032, 2594
-8048, -1058, 1772
-7524, -680, 2048
-7288, -448, 1880
-7590, -464, 1828
-7340, -448, 2212
